А	а 
Ҫӗршыври	ҫ ӗ р ш ы в р и 
Ҫӳллерех	ҫ ӳ л л е р е х 
ҫаврӑнни	ҫ а в р ӑ н н и 
ҫаврӑннӑ	ҫ а в р ӑ н н ӑ 
ҫавӑнпах	ҫ а в ӑ н п а х 
ҫакланнӑ	ҫ а к л а н н ӑ 
ҫакӑншӑн	ҫ а к ӑ н ш ӑ н 
ҫамрӑкпа	ҫ а м р ӑ к п а 
ҫанталӑк	ҫ а н т а л ӑ к 
ҫапларах	ҫ а п л а р а х 
ҫаптарчӗ	ҫ а п т а р ч ӗ 
ҫемйинче	ҫ е м й и н ч е 
ҫемьерен	ҫ е м ь е р е н 
ҫемьесен	ҫ е м ь е с е н 
ҫивӗчрех	ҫ и в ӗ ч р е х 
ҫийӗнчех	ҫ и й ӗ н ч е х 
ҫилленме	ҫ и л л е н м е 
ҫимӗҫӗпе	ҫ и м ӗ ҫ ӗ п е 
ҫирӗмрен	ҫ и р ӗ м р е н 
ҫирӗпрех	ҫ и р ӗ п р е х 
ҫитеймен	ҫ и т е й м е н 
ҫитиччен	ҫ и т и ч ч е н 
ҫитмелле	ҫ и т м е л л е 
ҫитнӗччӗ	ҫ и т н ӗ ч ч ӗ 
ҫитӗнӗвӗ	ҫ и т ӗ н ӗ в ӗ 
ҫиччӗмӗш	ҫ и ч ч ӗ м ӗ ш 
ҫулмалли	ҫ у л м а л л и 
ҫулсенче	ҫ у л с е н ч е 
ҫулсенчи	ҫ у л с е н ч и 
ҫулсерен	ҫ у л с е р е н 
ҫулталӑк	ҫ у л т а л ӑ к 
ҫултанпа	ҫ у л т а н п а 
ҫултисем	ҫ у л т и с е м 
ҫулӗнчен	ҫ у л ӗ н ч е н 
ҫуратать	ҫ у р а т а т ь 
ҫуркунне	ҫ у р к у н н е 
ҫурринчи	ҫ у р р и н ч и 
ҫуртсене	ҫ у р т с е н е 
ҫуртӗнче	ҫ у р т ӗ н ч е 
ҫуртӗнчи	ҫ у р т ӗ н ч и 
ҫурчӗллӗ	ҫ у р ч ӗ л л ӗ 
ҫурчӗсем	ҫ у р ч ӗ с е м 
ҫурчӗсен	ҫ у р ч ӗ с е н 
ҫутатать	ҫ у т а т а т ь 
ҫухалсан	ҫ у х а л с а н 
ҫухрӑмра	ҫ у х р ӑ м р а 
ҫывӑхрах	ҫ ы в ӑ х р а х 
ҫыннисем	ҫ ы н н и с е м 
ҫыннисен	ҫ ы н н и с е н 
ҫыравҫин	ҫ ы р а в ҫ и н 
ҫыравҫӑн	ҫ ы р а в ҫ ӑ н 
ҫырлахас	ҫ ы р л а х а с 
ҫырлахма	ҫ ы р л а х м а 
ҫырлахнӑ	ҫ ы р л а х н ӑ 
ҫырмалла	ҫ ы р м а л л а 
ҫырнӑччӗ	ҫ ы р н ӑ ч ч ӗ 
ҫырсамӑр	ҫ ы р с а м ӑ р 
ҫыртарнӑ	ҫ ы р т а р н ӑ 
ҫыртарӗҫ	ҫ ы р т а р ӗ ҫ 
ҫырулӑхӗ	ҫ ы р у л ӑ х ӗ 
ҫырусене	ҫ ы р у с е н е 
ҫырӑнтӑм	ҫ ы р ӑ н т ӑ м 
ҫыхӑнӑва	ҫ ы х ӑ н ӑ в а 
ҫӑлтӑрпа	ҫ ӑ л т ӑ р п а 
ҫӑмӑллӑн	ҫ ӑ м ӑ л л ӑ н 
ҫӑмӑллӑх	ҫ ӑ м ӑ л л ӑ х 
ҫӑмӑлрах	ҫ ӑ м ӑ л р а х 
ҫӑрӑлать	ҫ ӑ р ӑ л а т ь 
ҫӗввисем	ҫ ӗ в в и с е м 
ҫӗкленет	ҫ ӗ к л е н е т 
ҫӗкленчӗ	ҫ ӗ к л е н ч ӗ 
ҫӗклерӗҫ	ҫ ӗ к л е р ӗ ҫ 
ҫӗклесси	ҫ ӗ к л е с с и 
ҫӗклеҫҫӗ	ҫ ӗ к л е ҫ ҫ ӗ 
ҫӗнетрӗҫ	ҫ ӗ н е т р ӗ ҫ 
ҫӗнтерме	ҫ ӗ н т е р м е 
ҫӗнтернӗ	ҫ ӗ н т е р н ӗ 
ҫӗршывра	ҫ ӗ р ш ы в р а 
ҫӗршыври	ҫ ӗ р ш ы в р и 
ҫӗршывӑн	ҫ ӗ р ш ы в ӑ н 
ҫӳллӗрех	ҫ ӳ л л ӗ р е х 
ҫӳллӗшне	ҫ ӳ л л ӗ ш н е 
ҫӳрекене	ҫ ӳ р е к е н е 
ҫӳренине	ҫ ӳ р е н и н е 
ҫӳретчӗҫ	ҫ ӳ р е т ч ӗ ҫ 
Ӑсталӑха	ӑ с т а л ӑ х а 
ӑмӑртура	ӑ м ӑ р т у р а 
ӑмӑртӑва	ӑ м ӑ р т ӑ в а 
ӑмӑртӑвӗ	ӑ м ӑ р т ӑ в ӗ 
ӑнлавсем	ӑ н л а в с е м 
ӑнтӑлман	ӑ н т ӑ л м а н 
ӑсатнине	ӑ с а т н и н е 
ӑсталанӑ	ӑ с т а л а н ӑ 
ӑсталать	ӑ с т а л а т ь 
ӑстисене	ӑ с т и с е н е 
ӗмӗрччен	ӗ м ӗ р ч ч е н 
ӗҫленине	ӗ ҫ л е н и н е 
ӗҫсемшӗн	ӗ ҫ с е м ш ӗ н 
ӗҫтешӗме	ӗ ҫ т е ш ӗ м е 
ӗҫтешӗпе	ӗ ҫ т е ш ӗ п е 
ӗҫченсем	ӗ ҫ ч е н с е м 
ӗҫӗсемпе	ӗ ҫ ӗ с е м п е 
Ӳпкелеме	ӳ п к е л е м е 
ӳкереҫҫӗ	ӳ к е р е ҫ ҫ ӗ 
ӳкӗннине	ӳ к ӗ н н и н е 
ӳпкеленӗ	ӳ п к е л е н ӗ 
ӳсӗрскер	ӳ с ӗ р с к е р 
Аврелькин	а в р е л ь к и н 
Авторӗсем	а в т о р ӗ с е м 
Агрофирма	а г р о ф и р м а 
Айӑпланнӑ	а й ӑ п л а н н ӑ 
Акчикасси	а к ч и к а с с и 
Александр	а л е к с а н д р 
Алексейпа	а л е к с е й п а 
Алякинсем	а л я к и н с е м 
Алякинсен	а л я к и н с е н 
Америкӑна	а м е р и к ӑ н а 
Америкӑпа	а м е р и к ӑ п а 
Америкӑра	а м е р и к ӑ р а 
Америкӑри	а м е р и к ӑ р и 
Анастасий	а н а с т а с и й 
Анастасия	а н а с т а с и я 
Аргументы	а р г у м е н т ы 
Арменирен	а р м е н и р е н 
Артамонов	а р т а м о н о в 
Артигаспа	а р т и г а с п а 
Архиповӑн	а р х и п о в ӑ н 
Аслашшӗпе	а с л а ш ш ӗ п е 
Астрахань	а с т р а х а н ь 
Асӑрханӑр	а с ӑ р х а н ӑ р 
Атайкасси	а т а й к а с с и 
Афанасьев	а ф а н а с ь е в 
Беларуҫри	б е л а р у ҫ р и 
Вазыхович	в а з ы х о в и ч 
Ведомости	в е д о м о с т и 
Ведомство	в е д о м с т в о 
Винокуров	в и н о к у р о в 
Вовоченко	в о в о ч е н к о 
Вогограда	в о г о г р а д а 
Волковӑпа	в о л к о в ӑ п а 
Воропаева	в о р о п а е в а 
Вулавӑшри	в у л а в ӑ ш р и 
Вӑрмантан	в ӑ р м а н т а н 
Германире	г е р м а н и р е 
Гомбоевӑн	г о м б о е в ӑ н 
Гороховая	г о р о х о в а я 
Григорьев	г р и г о р ь е в 
Дамбаевна	д а м б а е в н а 
Дворкович	д в о р к о в и ч 
Димитриев	д и м и т р и е в 
Диспетчер	д и с п е т ч е р 
Документа	д о к у м е н т а 
Екатерина	е к а т е р и н а 
Елизавета	е л и з а в е т а 
Ентешӗсем	е н т е ш ӗ с е м 
Задорнова	з а д о р н о в а 
Задоронов	з а д о р о н о в 
Ивантаева	и в а н т а е в а 
Иккӗшӗнче	и к к ӗ ш ӗ н ч е 
Илюхинсен	и л ю х и н с е н 
Информаци	и н ф о р м а ц и 
Иркутскра	и р к у т с к р а 
Кабинечӗн	к а б и н е ч ӗ н 
Казахстан	к а з а х с т а н 
Канадӑран	к а н а д ӑ р а н 
Канашлура	к а н а ш л у р а 
Канашский	к а н а ш с к и й 
Канашӗнче	к а н а ш ӗ н ч е 
Капсулӑна	к а п с у л ӑ н а 
Каракасра	к а р а к а с р а 
Каримован	к а р и м о в а н 
Кашнинчен	к а ш н и н ч е н 
Килӗшӗвӗн	к и л ӗ ш ӗ в ӗ н 
КиноБатыр	к и н о б а т ы р 
Кириллова	к и р и л л о в а 
Комитетӑн	к о м и т е т ӑ н 
Коммунист	к о м м у н и с т 
Конгресӑн	к о н г р е с ӑ н 
Конкурсра	к о н к у р с р а 
Конкурсӑн	к о н к у р с ӑ н 
Контактра	к о н т а к т р а 
Коршунова	к о р ш у н о в а 
Кравченко	к р а в ч е н к о 
Краснодар	к р а с н о д а р 
Кузнецова	к у з н е ц о в а 
Кузьминан	к у з ь м и н а н 
Курицынпа	к у р и ц ы н п а 
Курттӑмӑн	к у р т т ӑ м ӑ н 
Куславкка	к у с л а в к к а 
Кӑҫалхипе	к ӑ ҫ а л х и п е 
Кӗнекешӗн	к ӗ н е к е ш ӗ н 
Ладыковӑн	л а д ы к о в ӑ н 
Ленинская	л е н и н с к а я 
Лотфуллин	л о т ф у л л и н 
Магницкий	м а г н и ц к и й 
Максимова	м а к с и м о в а 
Маленький	м а л е н ь к и й 
Малиновка	м а л и н о в к а 
Маргарита	м а р г а р и т а 
Махараджа	м а х а р а д ж а 
Мегастрой	м е г а с т р о й 
Медведева	м е д в е д е в а 
Мексикӑри	м е к с и к ӑ р и 
Мотоборда	м о т о б о р д а 
Мускавран	м у с к а в р а н 
Мускавсен	м у с к а в с е н 
Мучийӗсем	м у ч и й ӗ с е м 
Навальный	н а в а л ь н ы й 
Назарбаев	н а з а р б а е в 
Накарагуа	н а к а р а г у а 
Николевна	н и к о л е в н а 
Нимеҫӗсен	н и м е ҫ ӗ с е н 
Нумайӑшӗн	н у м а й ӑ ш ӗ н 
Нурсултан	н у р с у л т а н 
Нюрнберге	н ю р н б е р г е 
Октябрьти	о к т я б р ь т и 
Официаллӑ	о ф и ц и а л л ӑ 
Паттӑрлӑх	п а т т ӑ р л ӑ х 
Паянтанпа	п а я н т а н п а 
Персонала	п е р с о н а л а 
Петербург	п е т е р б у р г 
Пиллӗксӗр	п и л л ӗ к с ӗ р 
Подвязный	п о д в я з н ы й 
Подрядчик	п о д р я д ч и к 
Пожарский	п о ж а р с к и й 
Порфирьев	п о р ф и р ь е в 
Президент	п р е з и д е н т 
Программа	п р о г р а м м а 
Промлитпа	п р о м л и т п а 
Психиатри	п с и х и а т р и 
Псковавиа	п с к о в а в и а 
Пуҫламӑшӗ	п у ҫ л а м ӑ ш ӗ 
Пӑтӑрмахӗ	п ӑ т ӑ р м а х ӗ 
Пӗлмешкӗн	п ӗ л м е ш к ӗ н 
Пӗрремӗшӗ	п ӗ р р е м ӗ ш ӗ 
Пӗтӗмӗшле	п ӗ т ӗ м ӗ ш л е 
Раҫҫейӗпе	р а ҫ ҫ е й ӗ п е 
Реамберин	р е а м б е р и н 
Регионсен	р е г и о н с е н 
Риголетто	р и г о л е т т о 
Румынинчи	р у м ы н и н ч и 
Румынирен	р у м ы н и р е н 
Савӑнӑҫлӑ	с а в ӑ н ӑ ҫ л ӑ 
Саккунсем	с а к к у н с е м 
Саккунсӑр	с а к к у н с ӑ р 
Саламлама	с а л а м л а м а 
Сальвадор	с а л ь в а д о р 
Сантинопа	с а н т и н о п а 
Сергеевич	с е р г е е в и ч 
Спектакле	с п е к т а к л е 
Станислав	с т а н и с л а в 
Стерлӗрен	с т е р л ӗ р е н 
Стройминӗ	с т р о й м и н ӗ 
Сурӑмӗнчи	с у р ӑ м ӗ н ч и 
Сыктывкар	с ы к т ы в к а р 
Тавралӑха	т а в р а л ӑ х а 
Ташкентра	т а ш к е н т р а 
Театрсене	т е а т р с е н е 
Телекурав	т е л е к у р а в 
Термометр	т е р м о м е т р 
Тимофеева	т и м о ф е е в а 
Транспорт	т р а н с п о р т 
Трифонова	т р и ф о н о в а 
Тутарстан	т у т а р с т а н 
Тухтӑрсем	т у х т ӑ р с е м 
Тӑванӗсем	т ӑ в а н ӗ с е м 
Тӑванӗсен	т ӑ в а н ӗ с е н 
Тӗлпулура	т ӗ л п у л у р а 
Тӗмшерсен	т ӗ м ш е р с е н 
Тӗплӗнрех	т ӗ п л ӗ н р е х 
Тӗрӗслӗхе	т ӗ р ӗ с л ӗ х е 
Тӗрӗссипе	т ӗ р ӗ с с и п е 
Тӗслӗхрен	т ӗ с л ӗ х р е н 
Угасловпа	у г а с л о в п а 
Украинӑри	у к р а и н ӑ р и 
Унашкалли	у н а ш к а л л и 
Управлени	у п р а в л е н и 
Уртаракан	у р т а р а к а н 
Фарабунто	ф а р а б у н т о 
Федерацин	ф е д е р а ц и н 
Федорович	ф е д о р о в и ч 
Федоровна	ф е д о р о в н а 
Фейсбукра	ф е й с б у к р а 
Фестивале	ф е с т и в а л е 
Фестиваль	ф е с т и в а л ь 
Филимонов	ф и л и м о н о в 
Фильмсене	ф и л ь м с е н е 
Фёдорович	ф ё д о р о в и ч 
Хабаргуев	х а б а р г у е в 
Хайхискер	х а й х и с к е р 
Халалӗнче	х а л а л ӗ н ч е 
Хальхинче	х а л ь х и н ч е 
Халӑхӗсен	х а л ӑ х ӗ с е н 
Хернандес	х е р н а н д е с 
Хуларисем	х у л а р и с е м 
Хуравлама	х у р а в л а м а 
Хуракасси	х у р а к а с с и 
Хӑҫанччен	х ӑ ҫ а н ч ч е н 
Хӗрарӑмӑн	х ӗ р а р ӑ м ӑ н 
Цыпленков	ц ы п л е н к о в 
Чебоксары	ч е б о к с а р ы 
Чебурашка	ч е б у р а ш к а 
Чепрасова	ч е п р а с о в а 
Чувашская	ч у в а ш с к а я 
Чувашский	ч у в а ш с к и й 
Чукоткӑпа	ч у к о т к ӑ п а 
Чулхулара	ч у л х у л а р а 
Чулхулари	ч у л х у л а р и 
Чылайӑшне	ч ы л а й ӑ ш н е 
Чӑвашкино	ч ӑ в а ш к и н о 
Чӑвашстат	ч ӑ в а ш с т а т 
Чӗмпӗртен	ч ӗ м п ӗ р т е н 
Чӗрчунсем	ч ӗ р ч у н с е м 
Шампэйнра	ш а м п э й н р а 
Широковпа	ш и р о к о в п а 
Шкулсенче	ш к у л с е н ч е 
Шпашкарта	ш п а ш к а р т а 
Штатсенче	ш т а т с е н ч е 
Шумиловпа	ш у м и л о в п а 
Шупашкара	ш у п а ш к а р а 
Шупашкарӗ	ш у п а ш к а р ӗ 
Шурчанова	ш у р ч а н о в а 
Шухӑшлана	ш у х ӑ ш л а н а 
Ыхракасси	ы х р а к а с с и 
Экзюперин	э к з ю п е р и н 
Экономика	э к о н о м и к а 
Элтеперне	э л т е п е р н е 
Элтеперӗн	э л т е п е р ӗ н 
Юмансемпе	ю м а н с е м п е 
Юсанмалли	ю с а н м а л л и 
Якимовсем	я к и м о в с е м 
Яклашкина	я к л а ш к и н а 
Яковлевах	я к о в л е в а х 
Яковлевич	я к о в л е в и ч 
Яковлевӑн	я к о в л е в ӑ н 
Яранкасси	я р а н к а с с и 
автобусӑн	а в т о б у с ӑ н 
автоматне	а в т о м а т н е 
автономин	а в т о н о м и н 
авторӗсем	а в т о р ӗ с е м 
авторӗсен	а в т о р ӗ с е н 
агентстви	а г е н т с т в и 
агентство	а г е н т с т в о 
аграрисем	а г р а р и с е м 
агрофирма	а г р о ф и р м а 
айкашӑвне	а й к а ш ӑ в н е 
айӑпланнӑ	а й ӑ п л а н н ӑ 
аккордеон	а к к о р д е о н 
активисчӗ	а к т и в и с ч ӗ 
акӑлчанла	а к ӑ л ч а н л а 
алфавитпа	а л ф а в и т п а 
алфавитра	а л ф а в и т р а 
амӑшлӑхпа	а м ӑ ш л ӑ х п а 
амӑшӗнчен	а м ӑ ш ӗ н ч е н 
амӑшӗсене	а м ӑ ш ӗ с е н е 
ансамблӗн	а н с а м б л ӗ н 
апатланма	а п а т л а н м а 
апатланӑш	а п а т л а н ӑ ш 
аппаланнӑ	а п п а л а н н ӑ 
арестлеме	а р е с т л е м е 
арестлесе	а р е с т л е с е 
арпашӑнма	а р п а ш ӑ н м а 
арпашӑнса	а р п а ш ӑ н с а 
артистсем	а р т и с т с е м 
артистсен	а р т и с т с е н 
архивӗнче	а р х и в ӗ н ч е 
арҫыннине	а р ҫ ы н н и н е 
ассамблея	а с с а м б л е я 
астрономи	а с т р о н о м и 
астумалла	а с т у м а л л а 
асӑнмалӑх	а с ӑ н м а л ӑ х 
асӑрхаман	а с ӑ р х а м а н 
аталанӑвӗ	а т а л а н ӑ в ӗ 
атмосфера	а т м о с ф е р а 
атономийӗ	а т о н о м и й ӗ 
аукционра	а у к ц и о н р а 
ачаранпах	а ч а р а н п а х 
ачасемшӗн	а ч а с е м ш ӗ н 
аэробикин	а э р о б и к и н 
аэропорта	а э р о п о р т а 
башнисене	б а ш н и с е н е 
блокнотпа	б л о к н о т п а 
больницин	б о л ь н и ц и н 
бройлерӑн	б р о й л е р ӑ н 
букварӗпе	б у к в а р ӗ п е 
валеҫнине	в а л е ҫ н и н е 
ведомстви	в е д о м с т в и 
ведомство	в е д о м с т в о 
вилнисене	в и л н и с е н е 
внутренне	в н у т р е н н е 
водителӗн	в о д и т е л ӗ н 
воспитани	в о с п и т а н и 
вулавӑшра	в у л а в ӑ ш р а 
вулавӑшӑн	в у л а в ӑ ш ӑ н 
вулавӑшӗн	в у л а в ӑ ш ӗ н 
вуламасен	в у л а м а с е н 
выльӑхсем	в ы л ь ӑ х с е м 
вылямалли	в ы л я м а л л и 
вырнаҫать	в ы р н а ҫ а т ь 
вырттарнӑ	в ы р т т а р н ӑ 
вырӑнсене	в ы р ӑ н с е н е 
вырӑнӗнче	в ы р ӑ н ӗ н ч е 
вырӑнӗсем	в ы р ӑ н ӗ с е м 
вӑрнарсем	в ӑ р н а р с е м 
вӑхӑталла	в ӑ х ӑ т а л л а 
вӑхӑтлӑха	в ӑ х ӑ т л ӑ х а 
вӑхӑтӗнче	в ӑ х ӑ т ӗ н ч е 
вӗлернине	в ӗ л е р н и н е 
вӗренекен	в ӗ р е н е к е н 
вӗренесси	в ӗ р е н е с с и 
вӗренеҫҫӗ	в ӗ р е н е ҫ ҫ ӗ 
вӗрентнин	в ӗ р е н т н и н 
вӗҫленмен	в ӗ ҫ л е н м е н 
вӗҫленӗпе	в ӗ ҫ л е н ӗ п е 
вӗҫмешкӗн	в ӗ ҫ м е ш к ӗ н 
вӗҫӗнчипе	в ӗ ҫ ӗ н ч и п е 
гаражӗнче	г а р а ж ӗ н ч е 
гектартан	г е к т а р т а н 
генофончӗ	г е н о ф о н ч ӗ 
гимназире	г и м н а з и р е 
гимнӗсене	г и м н ӗ с е н е 
градусран	г р а д у с р а н 
гражданла	г р а ж д а н л а 
грамотипе	г р а м о т и п е 
грамотӑпа	г р а м о т ӑ п а 
делегацие	д е л е г а ц и е 
демографи	д е м о г р а ф и 
депутатне	д е п у т а т н е 
депутатпа	д е п у т а т п а 
диагнозне	д и а г н о з н е 
диаспорӑн	д и а с п о р ӑ н 
диктантне	д и к т а н т н е 
диктанчӗн	д и к т а н ч ӗ н 
директорӗ	д и р е к т о р ӗ 
дискотека	д и с к о т е к а 
дневникре	д н е в н и к р е 
дожноҫӗпе	д о ж н о ҫ ӗ п е 
документа	д о к у м е н т а 
должноҫри	д о л ж н о ҫ р и 
енлӗхӗшӗн	е н л ӗ х ӗ ш ӗ н 
ертӳлӗхне	е р т ӳ л ӗ х н е 
ертӳҫисем	е р т ӳ ҫ и с е м 
ертӳҫисен	е р т ӳ ҫ и с е н 
ертӳҫӗсем	е р т ӳ ҫ ӗ с е м 
ертӳҫӗсен	е р т ӳ ҫ ӗ с е н 
журналист	ж у р н а л и с т 
занятисем	з а н я т и с е м 
зарядкӑна	з а р я д к ӑ н а 
илемлетнӗ	и л е м л е т н ӗ 
илемлетсе	и л е м л е т с е 
илессишӗн	и л е с с и ш ӗ н 
илмесӗрех	и л м е с ӗ р е х 
инвестици	и н в е с т и ц и 
институчӗ	и н с т и т у ч ӗ 
интереслӗ	и н т е р е с л ӗ 
информаци	и н ф о р м а ц и 
ипотекӑпа	и п о т е к ӑ п а 
иртессине	и р т е с с и н е 
ирттермен	и р т т е р м е н 
ирттерчӗҫ	и р т т е р ч ӗ ҫ 
историйӗн	и с т о р и й ӗ н 
историсем	и с т о р и с е м 
йывӑрлӑха	й ы в ӑ р л ӑ х а 
йывӑрлӑхӗ	й ы в ӑ р л ӑ х ӗ 
йывӑҫсене	й ы в ӑ ҫ с е н е 
йыхравлӗҫ	й ы х р а в л ӗ ҫ 
йышӑнакан	й ы ш ӑ н а к а н 
йышӑнаҫҫӗ	й ы ш ӑ н а ҫ ҫ ӗ 
йышӑннине	й ы ш ӑ н н и н е 
йӗпреҫсем	й ӗ п р е ҫ с е м 
йӗркелеме	й ӗ р к е л е м е 
йӗркелени	й ӗ р к е л е н и 
йӗркеленӗ	й ӗ р к е л е н ӗ 
йӗркелесе	й ӗ р к е л е с е 
йӗркеллех	й ӗ р к е л л е х 
йӗркелӗхе	й ӗ р к е л ӗ х е 
йӗркесене	й ӗ р к е с е н е 
йӳнелессе	й ӳ н е л е с с е 
йӳнӗрехпе	й ӳ н ӗ р е х п е 
какайӗнче	к а к а й ӗ н ч е 
каламалла	к а л а м а л л а 
каламаҫҫӗ	к а л а м а ҫ ҫ ӗ 
калаҫаҫҫӗ	к а л а ҫ а ҫ ҫ ӗ 
калаҫнине	к а л а ҫ н и н е 
калаҫусем	к а л а ҫ у с е м 
калӑпланӑ	к а л ӑ п л а н ӑ 
калӑплать	к а л ӑ п л а т ь 
калӑпӑшне	к а л ӑ п ӑ ш н е 
канашлура	к а н а ш л у р а 
канашлури	к а н а ш л у р и 
канашлӑвӗ	к а н а ш л ӑ в ӗ 
канашӗнче	к а н а ш ӗ н ч е 
капеллине	к а п е л л и н е 
капсулӑна	к а п с у л ӑ н а 
карантина	к а р а н т и н а 
картлашки	к а р т л а ш к и 
кварталта	к в а р т а л т а 
квесчӗсем	к в е с ч ӗ с е м 
килограмм	к и л о г р а м м 
километра	к и л о м е т р а 
килӗшнине	к и л ӗ ш н и н е 
килӗшӗвне	к и л ӗ ш ӗ в н е 
килӗшӳсӗр	к и л ӗ ш ӳ с ӗ р 
кинозалта	к и н о з а л т а 
киностуди	к и н о с т у д и 
кинотеатр	к и н о т е а т р 
кинофильм	к и н о ф и л ь м 
классенче	к л а с с е н ч е 
клеткӑллӑ	к л е т к ӑ л л ӑ 
клӗшӳллӗн	к л ӗ ш ӳ л л ӗ н 
коллегийӗ	к о л л е г и й ӗ 
командине	к о м а н д и н е 
комбиначӗ	к о м б и н а ч ӗ 
комиссийӗ	к о м и с с и й ӗ 
комиссине	к о м и с с и н е 
комитетра	к о м и т е т р а 
комитечӗн	к о м и т е ч ӗ н 
коммунист	к о м м у н и с т 
компанийӗ	к о м п а н и й ӗ 
комплексӗ	к о м п л е к с ӗ 
конгресӗн	к о н г р е с ӗ н 
конкурсне	к о н к у р с н е 
конкурсра	к о н к у р с р а 
конкурсӑн	к о н к у р с ӑ н 
контракчӗ	к о н т р а к ч ӗ 
конференц	к о н ф е р е н ц 
концернӑн	к о н ц е р н ӑ н 
концертпа	к о н ц е р т п а 
концертра	к о н ц е р т р а 
коопераци	к о о п е р а ц и 
коридорта	к о р и д о р т а 
корпораци	к о р п о р а ц и 
коррупцие	к о р р у п ц и е 
космонавт	к о с м о н а в т 
котельнӑй	к о т е л ь н ӑ й 
крематори	к р е м а т о р и 
крепостла	к р е п о с т л а 
критиклес	к р и т и к л е с 
культурин	к у л ь т у р и н 
культурӑн	к у л ь т у р ӑ н 
кунсенчен	к у н с е н ч е н 
кунӗсенче	к у н ӗ с е н ч е 
куравӗсем	к у р а в ӗ с е м 
курмаллла	к у р м а л л л а 
курманшӑн	к у р м а н ш ӑ н 
курнисене	к у р н и с е н е 
курӑнакан	к у р ӑ н а к а н 
куҫарасси	к у ҫ а р а с с и 
куҫарнине	к у ҫ а р н и н е 
куҫарӑвӑн	к у ҫ а р ӑ в ӑ н 
кӑларакан	к ӑ л а р а к а н 
кӑларасса	к ӑ л а р а с с а 
кӑлараҫҫӗ	к ӑ л а р а ҫ ҫ ӗ 
кӑларнине	к ӑ л а р н и н е 
кӑларӑмра	к ӑ л а р ӑ м р а 
кӑмакинче	к ӑ м а к и н ч е 
кӑмакисем	к ӑ м а к и с е м 
кӑмӑллать	к ӑ м ӑ л л а т ь 
кӑмӑллине	к ӑ м ӑ л л и н е 
кӑтарттӑр	к ӑ т а р т т ӑ р 
кӑтартӑва	к ӑ т а р т ӑ в а 
кӑштахран	к ӑ ш т а х р а н 
кӑшӑлӗсем	к ӑ ш ӑ л ӗ с е м 
кӑҫаллӑха	к ӑ ҫ а л л ӑ х а 
кӑҫалхипе	к ӑ ҫ а л х и п е 
кӑҫалччен	к ӑ ҫ а л ч ч е н 
кӗленчине	к ӗ л е н ч и н е 
кӗлленмен	к ӗ л л е н м е н 
кӗмеллине	к ӗ м е л л и н е 
кӗнекесем	к ӗ н е к е с е м 
кӗнекинче	к ӗ н е к и н ч е 
кӗрешекен	к ӗ р е ш е к е н 
кӗрешӗвӗн	к ӗ р е ш ӗ в ӗ н 
кӗртмелли	к ӗ р т м е л л и 
кӳрессине	к ӳ р е с с и н е 
лавккинче	л а в к к и н ч е 
лайӑхланӗ	л а й ӑ х л а н ӗ 
лапамӗнче	л а п а м ӗ н ч е 
лапамӗсем	л а п а м ӗ с е м 
лапмӑсене	л а п м ӑ с е н е 
лартмалла	л а р т м а л л а 
лартманни	л а р т м а н н и 
лартмасан	л а р т м а с а н 
лартмасть	л а р т м а с т ь 
ларӑвӗнче	л а р ӑ в ӗ н ч е 
лауреачӗн	л а у р е а ч ӗ н 
лачакаран	л а ч а к а р а н 
лекторийӗ	л е к т о р и й ӗ 
лицейӗнчи	л и ц е й ӗ н ч и 
маларахри	м а л а р а х р и 
малашлӑхӗ	м а л а ш л ӑ х ӗ 
марафонра	м а р а ф о н р а 
маршрутпа	м а р ш р у т п а 
масарӗнче	м а с а р ӗ н ч е 
материала	м а т е р и а л а 
машинисчӗ	м а ш и н и с ч ӗ 
машинӑран	м а ш и н ӑ р а н 
машинӑсем	м а ш и н ӑ с е м 
машинӑсен	м а ш и н ӑ с е н 
медальсем	м е д а л ь с е м 
медпулӑшу	м е д п у л ӑ ш у 
медсестра	м е д с е с т р а 
методисчӗ	м е т о д и с ч ӗ 
микроскоп	м и к р о с к о п 
миллилитр	м и л л и л и т р 
министрне	м и н и с т р н е 
министрпа	м и н и с т р п а 
министрӗн	м и н и с т р ӗ н 
мониторпа	м о н и т о р п а 
музейӗнче	м у з е й ӗ н ч е 
мӑнукӗсем	м ӑ н у к ӗ с е м 
мӗшӗсенче	м ӗ ш ӗ с е н ч е 
наградӑна	н а г р а д ӑ н а 
нарасхват	н а р а с х в а т 
наркотикӗ	н а р к о т и к ӗ 
населения	н а с е л е н и я 
начарриех	н а ч а р р и е х 
начаррипе	н а ч а р р и п е 
нимеленсе	н и м е л е н с е 
номерӗнче	н о м е р ӗ н ч е 
номерӗсем	н о м е р ӗ с е м 
норматива	н о р м а т и в а 
носителей	н о с и т е л е й 
нушаланнӑ	н у ш а л а н н ӑ 
нушаланса	н у ш а л а н с а 
облаҫӗнче	о б л а ҫ ӗ н ч е 
облаҫӗнчи	о б л а ҫ ӗ н ч и 
обращение	о б р а щ е н и е 
обществин	о б щ е с т в и н 
округӗнче	о к р у г ӗ н ч е 
округӗнчи	о к р у г ӗ н ч и 
округӗсем	о к р у г ӗ с е м 
олимпиада	о л и м п и а д а 
оперисене	о п е р и с е н е 
органсене	о р г а н с е н е 
органӗнче	о р г а н ӗ н ч е 
